id,niqqudless,stressed,phrase,ind,phonikud:full,naturalreaders,google-translate,eleven-labs-v3-alpha
209,טעם,טע֫ם,"כשטעם את המרק, חזר לזכרונות ילדותו.",9,TRUE,FALSE,TRUE,TRUE
210,טעם,טע֫ם,"כשטעם את השוקולד, לא רצה להפסיק לאכול.",10,TRUE,FALSE,TRUE,TRUE
211,טעם,טע֫ם,הוא תוך כדי מחשבה טעם את התה בשקט.,11,TRUE,FALSE,TRUE,TRUE
212,טעם,טע֫ם,הוא הניח את הצלחת וטעם את המנה בעונג.,12,TRUE,TRUE,TRUE,TRUE
213,טעם,טע֫ם,הילד הנחית את הכף וטעם את המרק בפעם הראשונה.,13,TRUE,TRUE,TRUE,TRUE
214,טעם,טע֫ם,הוא נזהר כשטעם את המנה בזהירות.,14,TRUE,FALSE,TRUE,TRUE
215,טעם,טע֫ם,הוא טעם את המרק בזהירות לפני שהוסיף מלח.,15,TRUE,FALSE,TRUE,TRUE
216,טעם,טע֫ם,הוא טעם את הלחם הטרי וחש נוסטלגיה נעימה.,16,TRUE,FALSE,TRUE,TRUE
217,טעם,טע֫ם,"כשטעם את התה, הרגיש כיצד הרוגע נכנס לליבו.",17,TRUE,TRUE,TRUE,TRUE
218,טעם,טע֫ם,"כשטעם את האוכל המסורתי, נפתח בפניו עולם חדש.",18,TRUE,FALSE,TRUE,TRUE
219,טעם,טע֫ם,הוא חשב על המסע שהביא אותו הנה וטעם את המנה המקומית.,19,TRUE,TRUE,TRUE,TRUE
220,טעם,טע֫ם,הוא טעם את הקפה והרגיש כיצד המרירות מתמזגת עם המתיקות,20,TRUE,FALSE,TRUE,TRUE
221,אורגנית,אורג֫נית,החקלאי סיפר שהעגבניות מגיעות מחווה אורגנית בצפון.,1,FALSE,FALSE,TRUE,TRUE
222,אורגנית,אורג֫נית,במעדניה החדשה יש גבינות מתוצרת אורגנית בלבד.,2,TRUE,FALSE,TRUE,TRUE
223,אורגנית,אורג֫נית,הם מחפשים דרך חיים יותר אורגנית ופחות תעשייתית.,3,TRUE,FALSE,TRUE,TRUE
224,אורגנית,אורג֫נית,המסעדה מציעה תפריט המבוסס על תוצרת אורגנית מקומית.,4,TRUE,FALSE,TRUE,TRUE
225,אורגנית,אורג֫נית,בחנות הזו כל המוצרים הם מחקלאות אורגנית.,5,FALSE,FALSE,TRUE,TRUE
226,אורגנית,אורג֫נית,במהלך הסיור הוסבר איך יוצרים קרקע אורגנית עשירה.,6,FALSE,FALSE,TRUE,TRUE
227,אורגנית,אורג֫נית,בחנות הטבע הוצגו עשרות מוצרים בתווית אורגנית.,7,FALSE,FALSE,TRUE,TRUE
228,אורגנית,אורג֫נית,הגינה נבנתה בשיטה אורגנית שמשמרת את המערכת האקולוגית.,8,FALSE,FALSE,TRUE,TRUE
229,אורגנית,אורג֫נית,העבודה בקבוצה זרמה בצורה אורגנית בזכות הכימיה בין המשתתפים.,9,TRUE,FALSE,TRUE,TRUE
230,אורגנית,אורג֫נית,החיבור ביניהם התפתח אורגנית בלי כוונה תחילה.,10,TRUE,FALSE,TRUE,TRUE
231,אורגנית,אורגנ֫ית,הילד קיבל אורגנית ליום הולדת והתחיל ללמוד לנגן.,1,TRUE,TRUE,FALSE,FALSE
232,אורגנית,אורגנ֫ית,הם הביאו אורגנית קטנה כדי לנגן בשירה בציבור.,2,TRUE,TRUE,FALSE,FALSE
233,אורגנית,אורגנ֫ית,האורגנית שלו חוברה לרמקול ונשמעה בכל החדר.,3,TRUE,TRUE,FALSE,FALSE
234,אורגנית,אורגנ֫ית,היא כתבה שיר חדש וניגנה אותו על אורגנית.,4,TRUE,TRUE,FALSE,FALSE
235,אורגנית,אורגנ֫ית,הוא אהב את הצליל החם של האורגנית הישנה.,5,TRUE,TRUE,FALSE,FALSE
236,אורגנית,אורגנ֫ית,הם קנו אורגנית יד שנייה ותרגלו נגינה כל יום.,6,TRUE,TRUE,FALSE,FALSE
237,אורגנית,אורגנ֫ית,האורגנית החשמלית משמשת אותו גם להקלטות.,7,TRUE,TRUE,FALSE,FALSE
238,אורגנית,אורגנ֫ית,המוזיקאית עלתה לבמה עם אורגנית קטנה וניידת,8,TRUE,TRUE,FALSE,FALSE
239,אורגנית,אורגנ֫ית,המורה הסביר על הבדלים בין פסנתר רגיל לאורגנית.,9,TRUE,TRUE,FALSE,FALSE
240,אורגנית,אורגנ֫ית,הילדים ניגשו אחד אחד לנסות לנגן על האורגנית.,10,FALSE,TRUE,FALSE,TRUE
